t,m,j,u,Price
2018-19,Oromia,Other fruit,Kg,60
2018-19,Oromia,Other prepared food,Kg,160.6596987
2018-19,Oromia,Other seed,Kg,64.16666667
2018-19,Oromia,Other vegetable,Kg,56.07476595
2018-19,Oromia,Papaya,Kg,31.25109861
2018-19,Oromia,Pasta/Macaroni,Kg,32.95495476
2018-19,Oromia,Potato,Kg,16.27099316
2018-19,Oromia,Poultry,Kg,888.0938331
2018-19,Oromia,Rice,Kg,27.39922273
2018-19,Oromia,Salt,Kg,22.14151845
2018-19,Oromia,Sesame,Kg,135.6386272
2018-19,Oromia,Shiro,Kg,52.88617941
2018-19,Oromia,Soda,Kg,49.95759282
2018-19,Oromia,Sorghum,Kg,14.85058332
2018-19,Oromia,Sugar,Kg,45.53408258
2018-19,Oromia,Sun Flower,Kg,56.95482845
2018-19,Oromia,Sweet potato,Kg,17.77285019
2018-19,Oromia,Tea,Kg,46.02864184
2018-19,Oromia,Teff,Kg,31.11090199
2018-19,Oromia,Tella,Kg,8.668539758
2018-19,Oromia,Tomato,Kg,17.67603333
2018-19,Oromia,Vetch,Kg,25.77594282
2018-19,Oromia,Wheat,Kg,19.60340999
2018-19,SNNP,Avocado,Kg,12.58838949
2018-19,SNNP,Banana,Kg,11.53106701
2018-19,SNNP,Barley,Kg,25.541901
2018-19,SNNP,Beef,Kg,246.7110116
2018-19,SNNP,Beer,Kg,48.50419544
2018-19,SNNP,Beetroot,Kg,21.54137573
2018-19,SNNP,Berbere,Kg,80.89295691
2018-19,SNNP,Boye/Yam,Kg,37.32489713
2018-19,SNNP,Bread/biscuit,Kg,13.01816833
2018-19,SNNP,Bula,Kg,90.3748313
2018-19,SNNP,Butter/ghee,Kg,266.7344533
