Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2807","Rice and products","2012","2012","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2807","Rice and products","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2807","Rice and products","2012","2012","1000 t","252","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2807","Rice and products","2012","2012","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2807","Rice and products","2012","2012","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2807","Rice and products","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2807","Rice and products","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2807","Rice and products","2012","2012","1000 t","243","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2807","Rice and products","2012","2012","kg/cap","2.57","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2807","Rice and products","2012","2012","kcal/cap/d","15.99","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2807","Rice and products","2012","2012","million Kcal","551113.87","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2012","2012","g/cap/d","0.32","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2807","Rice and products","2012","2012","t","11200.64","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2012","2012","g/cap/d","0.04","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2807","Rice and products","2012","2012","t","1423.95","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2807","Rice and products","2013","2013","1000 t","92","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2807","Rice and products","2013","2013","1000 t","134","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2807","Rice and products","2013","2013","1000 t","-47","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2807","Rice and products","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2807","Rice and products","2013","2013","1000 t","274","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2807","Rice and products","2013","2013","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2807","Rice and products","2013","2013","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2807","Rice and products","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2807","Rice and products","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2807","Rice and products","2013","2013","1000 t","267","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2807","Rice and products","2013","2013","kg/cap","2.75","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2807","Rice and products","2013","2013","kcal/cap/d","17.11","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2807","Rice and products","2013","2013","million Kcal","606160.83","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2013","2013","g/cap/d","0.35","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2807","Rice and products","2013","2013","t","12320.32","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2013","2013","g/cap/d","0.04","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2807","Rice and products","2013","2013","t","1565.95","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2807","Rice and products","2014","2014","1000 t","132","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2807","Rice and products","2014","2014","1000 t","285","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2807","Rice and products","2014","2014","1000 t","-3","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2807","Rice and products","2014","2014","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2807","Rice and products","2014","2014","1000 t","419","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2807","Rice and products","2014","2014","1000 t","6","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2807","Rice and products","2014","2014","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2807","Rice and products","2014","2014","1000 t","0","I","Imputed value",""
